rule_name,rule_label,fill_mode,horizon_days,signal_date,signal_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20250801,20250801130500,20250801,4.017,20250828,4.437,0.104556,-0.005726,-0.029807,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251020,20251020140500,20251020,4.514,20251114,4.6455,0.029132,-0.00288,-0.043359,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251118,20251118131500,20251118,4.562,20251215,4.5665,0.000986,-0.033319,-0.044051,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251216,20251216130500,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20260122,20260122130500,20260122,4.711,20260226,4.7445,0.007111,-0.026746,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20260320,20260320143000,20260320,4.599,20260417,4.7445,0.031637,-0.042183,-0.049622,7
intraday_weak_low,盘中弱势低位预警,next_open,3,20250527,20250527130500,20250528,3.736,20250530,3.7505,0.003881,-0.004015,-0.012473,1
intraday_weak_low,盘中弱势低位预警,next_open,3,20250801,20250801130500,20250804,3.999,20250806,4.0735,0.01863,-0.00125,-0.009179,2
intraday_weak_low,盘中弱势低位预警,next_open,3,20251020,20251020140500,20251021,4.533,20251023,4.593,0.013236,-0.003088,-0.017609,3
intraday_weak_low,盘中弱势低位预警,next_open,3,20251118,20251118130500,20251119,4.555,20251121,4.486,-0.015148,-0.025467,-0.036257,4
intraday_weak_low,盘中弱势低位预警,next_open,3,20251121,20251121130500,20251124,4.456,20251126,4.513,0.012792,-0.010323,-0.011654,5
intraday_weak_low,盘中弱势低位预警,next_open,3,20251127,20251127135000,20251128,4.498,20251202,4.553,0.012228,-0.004002,-0.010734,6
