rule_name,rule_label,fill_mode,horizon_days,signal_idx,entry_idx,exit_idx,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,mfe_pct,max_drawdown_pct,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,day_close_in_range,day_return,m5_low_pos_ratio,m5_volume_ratio_after_low,pre_close_vs_ma5
stat_core,统计核心规则,next_open,10,217,218,227,20260320,20260323,4.528,20260403,4.48,-0.010601,-0.027164,0.004638,-0.029094,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,next_open,20,217,218,237,20260320,20260323,4.528,20260420,4.771,0.053666,-0.027164,0.054991,-0.029094,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,research_midpoint,3,218,218,220,20260323,20260323,4.418,20260325,4.5465,0.029086,-0.002943,0.029651,-0.029094,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,research_midpoint,5,218,218,222,20260323,20260323,4.418,20260327,4.519,0.022861,-0.002943,0.029651,-0.029094,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,research_midpoint,10,218,218,227,20260323,20260323,4.418,20260403,4.48,0.014033,-0.002943,0.029651,-0.029094,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,research_midpoint,20,218,218,237,20260323,20260323,4.418,20260420,4.771,0.0799,-0.002943,0.081258,-0.029094,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,next_open,3,218,219,221,20260323,20260324,4.463,20260326,4.5175,0.012212,-0.012996,0.01927,-0.016741,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,next_open,5,218,219,223,20260323,20260324,4.463,20260330,4.5025,0.008851,-0.012996,0.01927,-0.022862,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,next_open,10,218,219,228,20260323,20260324,4.463,20260407,4.458,-0.00112,-0.012996,0.01927,-0.02594,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,next_open,20,218,219,238,20260323,20260324,4.463,20260421,4.781,0.071253,-0.012996,0.072373,-0.02594,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,research_midpoint,3,221,221,223,20260326,20260326,4.4825,20260330,4.5025,0.004462,-0.008366,0.014389,-0.022432,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,research_midpoint,5,221,221,225,20260326,20260326,4.4825,20260401,4.538,0.012381,-0.008366,0.014389,-0.022432,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,research_midpoint,10,221,221,230,20260326,20260326,4.4825,20260409,4.579,0.021528,-0.011489,0.027105,-0.025511,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,research_midpoint,20,221,221,240,20260326,20260326,4.4825,20260423,4.8175,0.074735,-0.011489,0.078416,-0.025511,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,next_open,3,221,222,224,20260326,20260327,4.45,20260331,4.496,0.010337,-0.001124,0.017978,-0.018764,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,next_open,5,221,222,226,20260326,20260327,4.45,20260402,4.5075,0.012921,-0.001124,0.020674,-0.018764,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,next_open,10,221,222,231,20260326,20260327,4.45,20260410,4.653,0.045618,-0.00427,0.04809,-0.024439,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,next_open,20,221,222,241,20260326,20260327,4.45,20260424,4.79,0.076404,-0.00427,0.086292,-0.024439,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,research_midpoint,3,224,224,226,20260331,20260331,4.4625,20260402,4.5075,0.010084,-0.000112,0.017815,-0.015852,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,research_midpoint,5,224,224,228,20260331,20260331,4.4625,20260407,4.458,-0.001008,-0.007059,0.017815,-0.024439,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,research_midpoint,10,224,224,233,20260331,20260331,4.4625,20260414,4.712,0.05591,-0.007059,0.05591,-0.024439,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,next_open,3,224,225,227,20260331,20260401,4.52,20260403,4.48,-0.00885,-0.016372,0.004867,-0.021136,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,next_open,5,224,225,229,20260331,20260401,4.52,20260408,4.603,0.018363,-0.01969,0.018584,-0.024439,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,next_open,10,224,225,234,20260331,20260401,4.52,20260415,4.72,0.044248,-0.01969,0.05,-0.024439,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,research_midpoint,3,227,227,229,20260403,20260403,4.45,20260408,4.603,0.034382,-0.00427,0.034607,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_core,统计核心规则,research_midpoint,5,227,227,231,20260403,20260403,4.45,20260410,4.653,0.045618,-0.00427,0.04809,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_core,统计核心规则,research_midpoint,10,227,227,236,20260403,20260403,4.45,20260417,4.7445,0.06618,-0.00427,0.067416,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_core,统计核心规则,next_open,3,227,228,230,20260403,20260407,4.455,20260409,4.579,0.027834,-0.005387,0.033446,-0.018897,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
