rule_name,rule_label,trade_date,signal_time,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,signal_bar_pos,signal_price,signal_low_so_far,est_day_return,est_day_close_in_range,m5_low_pos,m5_low_pos_ratio,m5_current_pos_ratio,m5_volume_ratio_after_low
intraday_weak_volume_repair,盘中弱势低位-量能修复,20251020,20251020143000,-0.047528,-0.017528,22.093023,41.0,4.51,4.502,0.002,0.150943,40.0,0.851064,0.87234,0.096023
intraday_weak_volume_repair,盘中弱势低位-量能修复,20251118,20251118132500,-0.028292,-0.012104,29.468599,28.0,4.56,4.558,-0.005886,0.055556,27.0,0.574468,0.595745,-0.209848
intraday_weak_volume_repair,盘中弱势低位-量能修复,20251120,20251120143500,-0.031057,-0.013118,32.8125,42.0,4.563,4.56,-0.002405,0.065217,41.0,0.87234,0.893617,-0.202113
intraday_weak_volume_repair,盘中弱势低位-量能修复,20251127,20251127150000,-0.047101,-0.00887,37.219731,47.0,4.499,4.495,-0.000888,0.071429,46.0,0.978723,1.0,1.707972
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260122,20260122144500,-0.027468,-0.003959,22.077922,44.0,4.717,4.703,-0.002748,0.245614,23.0,0.489362,0.93617,-0.210663
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260123,20260123144500,-0.028707,-0.004318,34.0,44.0,4.704,4.687,-0.004866,0.309091,43.0,0.914894,0.93617,-0.281409
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260202,20260202131000,-0.028667,-0.002942,44.594595,25.0,4.657,4.647,-0.011463,0.138889,24.0,0.510638,0.531915,0.181311
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260323,20260323130500,-0.033397,-0.017119,12.179487,24.0,4.488,4.468,-0.019231,0.289855,23.0,0.489362,0.510638,0.021183
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260326,20260326132000,-0.047981,-0.011895,35.911602,27.0,4.504,4.502,-0.008803,0.044444,26.0,0.553191,0.574468,-0.069318
intraday_weak_volume_repair,盘中弱势低位-量能修复,20260403,20260403131500,-0.035599,-0.002688,38.396624,26.0,4.456,4.455,-0.007351,0.019608,25.0,0.531915,0.553191,-0.193855
